"Stkcd","Ddate","BPS"
"000025","2013-12-31","0.924795"
"000025","2014-12-31","0.918508"
"000025","2015-12-31","2.955408"
"000025","2016-12-31","3.056147"
"000026","2006-12-31","2.288097"
"000026","2007-12-31","2.610490"
"000026","2008-12-31","2.726406"
"000026","2009-12-31","2.949923"
"000026","2010-12-31","4.590460"
"000026","2011-12-31","3.549547"
"000026","2012-12-31","3.690419"
"000026","2013-12-31","3.918886"
"000026","2014-12-31","4.167533"
"000026","2015-12-31","5.249677"
"000026","2016-12-31","5.414050"
"000026","2017-12-31","5.626075"
"000026","2018-12-31","5.858939"
"000026","2019-12-31","5.993610"
"000026","2020-12-31","6.541560"
"000026","2021-12-31","7.073469"
"000026","2022-12-31","7.511090"
"000027","2002-12-31","4.498115"
"000027","2003-12-31","5.465246"
"000027","2004-12-31","6.058300"
"000027","2005-12-31","6.586693"
"000027","2006-12-31","6.812750"
"000027","2007-12-31","6.254216"
"000027","2008-12-31","6.210833"
"000027","2009-12-31","7.121247"
"000027","2010-12-31","7.452989"
"000027","2011-12-31","6.402192"
"000027","2012-12-31","6.639761"
"000027","2013-12-31","7.128071"
"000027","2014-12-31","7.701335"
"000027","2015-12-31","6.272651"
"000027","2016-12-31","6.262508"
"000027","2017-12-31","6.236007"
"000027","2018-12-31","6.932452"
"000027","2019-12-31","8.471415"
"000027","2020-12-31","8.797599"
"000027","2021-12-31","10.423188"
"000027","2022-12-31","11.418193"
"000028","2002-12-31","1.161541"
"000028","2003-12-31","1.189871"
"000028","2005-12-31","1.366379"
"000028","2006-12-31","1.641167"
"000028","2007-12-31","1.796211"
"000028","2008-12-31","2.253589"
"000028","2009-12-31","3.047485"
"000028","2010-12-31","3.926593"
"000028","2011-12-31","4.951600"
"000028","2012-12-31","6.382284"
"000028","2013-12-31","8.039708"
"000028","2014-12-31","13.377794"
"000028","2015-12-31","15.350206"
"000028","2016-12-31","24.581352"
"000028","2017-12-31","23.188220"
"000028","2018-12-31","32.480495"
"000028","2019-12-31","35.876827"
"000028","2020-12-31","39.447706"
"000028","2021-12-31","42.095484"
"000028","2022-12-31","45.418083"
"000029","2009-12-31","1.201618"
"000029","2010-12-31","1.284806"
"000029","2011-12-31","1.384167"
"000029","2012-12-31","1.489741"
"000030","2013-12-31","3.270921"
"000030","2014-12-31","3.666944"
"000030","2015-12-31","4.101999"
"000030","2016-12-31","4.465455"
"000030","2017-12-31","4.890327"
"000030","2018-12-31","3.936874"
"000030","2019-12-31","4.116797"
"000030","2020-12-31","4.570256"
"000030","2021-12-31","4.701364"
"000030","2022-12-31","4.678544"
"000031","2001-12-31","2.241679"
"000031","2002-12-31","2.320996"
"000031","2005-12-31","2.776589"
"000031","2006-12-31","2.039086"
"000031","2007-12-31","4.031541"
"000031","2008-12-31","1.806599"
"000031","2009-12-31","3.563379"
"000031","2010-12-31","3.380450"
"000031","2011-12-31","3.924410"
"000031","2012-12-31","4.176535"
"000031","2013-12-31","4.945823"
"000031","2014-12-31","5.880163"
"000031","2015-12-31","6.112207"
"000031","2016-12-31","6.223374"
"000031","2017-12-31","6.475373"
"000031","2018-12-31","7.586451"
"000031","2019-12-31","9.924855"
"000031","2020-12-31","10.649307"
"000031","2021-12-31","12.152909"
"000031","2022-12-31","11.082792"
"000032","2010-12-31","3.442611"
"000032","2011-12-31","3.733937"
"000032","2012-12-31","4.502533"
"000032","2013-12-31","4.358882"
"000032","2015-12-31","4.286989"
"000032","2016-12-31","3.669892"
"000032","2022-12-31","8.898393"
"000033","2002-12-31","1.517316"
"000033","2003-12-31","1.522431"
"000033","2009-12-31","0.861380"
"000033","2010-12-31","0.883562"
"000033","2012-12-31","0.814776"
"000033","2013-12-31","0.825360"
"000033","2014-12-31","-0.582862"
"000033","2015-12-31","0.029192"
"000033","2016-12-31","0.053095"
"000034","2008-12-31","-3.165031"
"000034","2009-12-31","-2.252664"
"000034","2010-12-31","0.184531"
"000034","2011-12-31","0.238300"
"000034","2012-12-31","0.249516"
"000034","2015-12-31","0.522385"
"000034","2016-12-31","4.052581"
"000034","2017-12-31","5.133748"
"000034","2018-12-31","5.880850"
"000034","2019-12-31","6.688679"
"000034","2020-12-31","7.130184"
"000034","2021-12-31","10.013888"
"000034","2022-12-31","12.296961"
"000035","2002-12-31","2.054327"
"000035","2003-12-31","2.366193"
"000035","2014-12-31","4.554381"
"000035","2015-12-31","5.195054"
"000035","2016-12-31","5.790494"
"000035","2017-12-31","8.558530"
"000035","2018-12-31","9.249560"
"000035","2019-12-31","32.858285"
"000035","2020-12-31","35.079206"
"000035","2021-12-31","31.309746"
"000035","2022-12-31","29.305617"
"000036","2002-12-31","4.577216"
"000036","2003-12-31","5.010297"
"000036","2004-12-31","4.228487"
"000036","2005-12-31","5.816705"
"000036","2006-12-31","2.564693"
"000036","2007-12-31","2.372660"
"000036","2008-12-31","1.266590"
"000036","2009-12-31","1.551732"
"000036","2010-12-31","1.936179"
"000036","2011-12-31","2.046530"
"000036","2012-12-31","2.164079"
"000036","2013-12-31","2.257882"
"000036","2015-12-31","2.353504"
"000036","2016-12-31","3.526537"
"000036","2017-12-31","4.453665"
"000036","2018-12-31","4.766703"
"000036","2019-12-31","3.805816"
"000036","2020-12-31","3.926680"
"000036","2021-12-31","4.052173"
"000036","2022-12-31","4.219251"
"000037","2002-12-31","2.171061"
"000037","2003-12-31","2.934594"
"000037","2004-12-31","3.419339"
"000037","2005-12-31","3.099226"
"000037","2006-12-31","3.275846"
"000037","2009-12-31","3.410782"
"000037","2010-12-31","3.206002"
"000037","2011-12-31","3.131931"
"000038","2015-12-31","1.609217"
"000038","2016-12-31","15.651538"
"000038","2017-12-31","10.323451"
"000038","2018-12-31","5.029199"
"000038","2019-12-31","5.267887"
"000039","2004-06-30","6.679797"
"000039","2004-12-31","8.261640"
"000039","2005-12-31","5.131219"
"000039","2006-12-31","5.393177"
"000039","2007-12-31","6.588915"
"000039","2008-12-31","5.609401"
"000039","2009-12-31","5.944507"
"000039","2010-12-31","7.214066"
"000039","2011-12-31","8.118128"
"000039","2012-12-31","8.307238"
"000039","2013-12-31","9.200783"
